"Time","Processes"
2023-04-03 19:11:40,3870
2023-04-03 19:12:00,4151.4
2023-04-03 19:12:20,1368.4
2023-04-03 19:12:40,2167
2023-04-03 19:13:00,2257.4
2023-04-03 19:13:20,1551.4
2023-04-03 19:13:40,3412.8
2023-04-03 19:14:00,4191
2023-04-03 19:14:20,1380.4
2023-04-03 19:14:40,1726.6
2023-04-03 19:15:00,2635.6
2023-04-03 19:15:20,1842.4
2023-04-03 19:15:40,2071
2023-04-03 19:16:00,3705.8
2023-04-03 19:16:20,4178
2023-04-03 19:16:40,1271.4
2023-04-03 19:17:00,2015
2023-04-03 19:17:20,2792.4
2023-04-03 19:17:40,2296.2
2023-04-03 19:18:00,2192.6
2023-04-03 19:18:20,3636.4
2023-04-03 19:18:40,4165.4
2023-04-03 19:19:00,1997.4
2023-04-03 19:19:20,1696
2023-04-03 19:19:40,3148.4
2023-04-03 19:20:00,3093.6
2023-04-03 19:20:20,1238.6
2023-04-03 19:20:40,2878.8
2023-04-03 19:21:00,4252.2
2023-04-03 19:21:20,4149
2023-04-03 19:21:40,1218
2023-04-03 19:22:00,1966.6
2023-04-03 19:22:20,2258.2
2023-04-03 19:22:40,1220.2
2023-04-03 19:23:00,2681.4
2023-04-03 19:23:20,4208
2023-04-03 19:23:40,4087
2023-04-03 19:24:00,1214.4
2023-04-03 19:24:20,2213.4
2023-04-03 19:24:40,2417
2023-04-03 19:25:00,1237.6
2023-04-03 19:25:20,2842.4
2023-04-03 19:25:40,4200
2023-04-03 19:26:00,4084.4
2023-04-03 19:26:20,1224.2
2023-04-03 19:26:40,2414.2
2023-04-03 19:27:00,2920
2023-04-03 19:27:20,1323.8
2023-04-03 19:27:40,2172.4
2023-04-03 19:28:00,4053.4
2023-04-03 19:28:20,4123.2
2023-04-03 19:28:40,1439.6
2023-04-03 19:29:00,1821.4
2023-04-03 19:29:20,3302.8
2023-04-03 19:29:40,3269
2023-04-03 19:30:00,1221.4
2023-04-03 19:30:20,2561.2
2023-04-03 19:30:40,4123.4
2023-04-03 19:31:00,4110.4
2023-04-03 19:31:20,2111.2
2023-04-03 19:31:40,2018.4
2023-04-03 19:32:00,3481.4
